data,hora,latitude,longitude,velocidade,altitude,satelites,xg,yg,zg,x,y,z
1692015,21147,-7.14089,-34.85075,0.39,55.10,9,-0.21,-0.03,0.92,29,-3,25
1692015,21147,-7.14089,-34.85075,0.39,55.10,9,-0.21,-0.04,0.92,31,-6,19
1692015,21147,-7.14089,-34.85075,0.39,55.20,9,-0.21,-0.04,0.92,24,-2,17
1692015,21147,-7.14089,-34.85075,0.39,55.20,9,-0.21,-0.04,0.92,29,-9,18
1692015,21148,-7.14089,-34.85075,0.39,55.20,9,-0.21,-0.05,0.93,30,-7,17
1692015,21148,-7.14089,-34.85075,0.39,55.20,9,-0.21,-0.04,0.93,25,-11,16
1692015,21148,-7.14089,-34.85075,0.39,55.20,9,-0.21,-0.04,0.92,28,-4,24
1692015,21148,-7.14089,-34.85075,0.39,55.20,9,-0.21,-0.04,0.92,25,-5,18
1692015,21148,-7.14089,-34.85075,0.31,55.20,9,-0.21,-0.04,0.92,27,-4,21
1692015,21148,-7.14089,-34.85075,0.31,55.20,9,-0.21,-0.04,0.91,31,-7,19
1692015,21148,-7.14089,-34.85075,0.31,55.20,9,-0.21,-0.04,0.92,24,-2,23
1692015,21148,-7.14089,-34.85075,0.31,55.20,9,-0.21,-0.04,0.91,31,-8,21
1692015,21149,-7.14089,-34.85075,0.31,55.20,9,-0.21,-0.04,0.92,25,-6,20
1692015,21149,-7.14089,-34.85075,0.31,55.20,9,-0.21,-0.04,0.90,26,-6,17
1692015,21149,-7.14089,-34.85075,0.31,55.20,9,-0.21,-0.04,0.91,35,-8,19
1692015,21149,-7.14089,-34.85075,0.31,55.20,9,-0.21,-0.04,0.92,29,-6,21
1692015,21149,-7.14089,-34.85075,0.26,55.20,9,-0.21,-0.04,0.93,25,-1,18
1692015,21149,-7.14089,-34.85075,0.26,55.20,9,-0.21,-0.04,0.94,25,-3,17
1692015,21149,-7.14089,-34.85075,0.26,55.10,9,-0.20,-0.05,0.91,34,-6,24
1692015,21149,-7.14089,-34.85075,0.26,55.10,9,-0.21,-0.04,0.93,26,-5,18
1692015,21150,-7.14089,-34.85075,0.26,55.10,9,-0.22,-0.04,0.93,33,-3,14
